time,agitator_speed,coolant_flow,residence_time,feed_temp,quality_index
1/10/2023 9:00,259.3071163,107.8359647,39.33652485,40.50842995,45.72576871
1/10/2023 10:00,269.9406459,111.730454,50.31361919,63.10474635,45.38511767
1/10/2023 11:00,354.9307062,92.67046708,48.17337748,64.21466612,55.77066052
1/10/2023 12:00,332.2741222,114.2871703,40.93781185,43.60621687,47.17790252
1/10/2023 13:00,237.0391136,116.2457302,36.53677663,47.96748499,40.7684019
1/10/2023 14:00,234.8218671,91.0761795,59.64107898,40.5265709,49.59061413
1/10/2023 15:00,219.6791299,119.3408589,43.62004864,48.79925832,39.98473379
1/10/2023 16:00,332.0605439,85.62846112,50.64822707,63.19425622,59.39955465
1/10/2023 17:00,352.8745324,88.08062674,34.21658903,55.53881583,53.09601641
1/10/2023 18:00,253.0092857,87.36899357,44.56769099,50.4428678,53.07974428
1/10/2023 19:00,204.1889922,115.7595884,30.8261016,51.15217885,41.133799
1/10/2023 20:00,216.4343335,106.1717021,45.16365354,40.04060877,41.03591167
1/10/2023 21:00,393.572007,86.08417133,58.92052221,48.99401583,59.45725044
1/10/2023 22:00,259.0889555,97.61293673,41.52620139,59.39376225,46.63972434
1/10/2023 23:00,353.8446296,104.611921,31.16988038,69.22583331,54.29931939
1/11/2023 0:00,324.9327138,83.3385634,30.92867373,65.41182481,58.56441389
1/11/2023 1:00,276.3879279,115.2966547,41.6396028,40.70784894,41.41154801
1/11/2023 2:00,241.1374524,112.1441414,34.80074809,66.95681814,47.53377535
1/11/2023 3:00,224.2772836,100.2082709,30.70056289,63.4959524,46.25247521
1/11/2023 4:00,323.0025936,118.6850646,52.68640842,63.41128371,49.62471973
1/11/2023 5:00,354.9267561,96.71043917,43.75569027,53.73987277,51.81742096
1/11/2023 6:00,328.7808507,119.3644128,38.67734316,51.94015879,44.83838048
1/11/2023 7:00,306.0604266,106.7168,57.00249549,49.08747186,48.45701675
1/11/2023 8:00,208.3902447,105.3868509,33.48416881,41.97084577,40.99665883
1/11/2023 9:00,393.6977555,86.63819581,58.67756487,46.8470609,58.19154384
1/11/2023 10:00,359.7428383,115.2771103,39.41900152,47.39810905,46.56258559
1/11/2023 11:00,258.5644073,97.09958752,56.65211017,54.52231209,52.02011189
1/11/2023 12:00,395.9940659,86.48933623,48.08828629,62.4233322,60.27286902
1/11/2023 13:00,320.3763179,80.5043008,54.80122079,54.21429485,54.9773525
1/11/2023 14:00,316.4845316,102.3902273,59.5203949,41.73533348,52.90543237
1/11/2023 15:00,349.6146359,101.0959849,38.65216313,68.73369403,57.52679961
1/11/2023 16:00,362.3539576,108.7741449,58.83406456,68.28172957,52.44068139
1/11/2023 17:00,331.2957215,115.6103221,41.68445685,63.55568629,50.14068799
1/11/2023 18:00,225.6191493,83.17626339,41.56535714,69.73983705,53.42663203
1/11/2023 19:00,267.6535012,109.2598596,40.21161313,56.33446998,46.41974692
1/11/2023 20:00,385.6167281,87.49647776,46.24222822,68.88305051,62.02117426
1/11/2023 21:00,244.9231224,114.3270821,34.6243513,42.26815122,39.39528125
1/11/2023 22:00,274.4334048,112.7625406,46.61134456,50.97042245,43.18059569
1/11/2023 23:00,286.4153766,101.6317502,46.25114437,46.76143804,46.42756371
1/12/2023 0:00,287.8809979,108.4097119,52.85705438,45.87499252,44.49945643
1/12/2023 1:00,322.5879165,92.57400453,55.00949886,44.22408847,51.03931763
1/12/2023 2:00,388.6151675,98.84671596,43.21324051,58.67240925,55.69819291
1/12/2023 3:00,248.1385424,112.8654759,39.06999748,63.43965567,43.71069525
1/12/2023 4:00,224.3002753,98.37060789,37.78004692,57.34895198,48.31573062
1/12/2023 5:00,239.494098,94.31193061,35.8387151,44.40888129,49.12126579
1/12/2023 6:00,377.38498,99.76849789,31.72942747,64.3337131,53.81827852
1/12/2023 7:00,329.1621625,113.1299701,40.27343937,59.07864121,48.84099828
1/12/2023 8:00,257.1813578,93.40832189,38.10743076,51.64497118,49.97567886
1/12/2023 9:00,363.1893878,86.95046373,58.99252158,60.22390887,60.96236874
1/12/2023 10:00,372.2739993,108.4805608,46.73126479,47.79714938,50.45399861
